Tripid,City,Stationid,Truckid,Wastecollected,TruckType,Date
23526,Brasilia,71,133,36.09,Volvo,2019-03-09
23527,Brasilia,40,135,35.46,Volvo,2019-03-09
23528,Brasilia,77,160,41.02,Scania,2019-03-09
23529,Brasilia,77,157,43.95,Volvo,2019-03-09
23530,Brasilia,77,150,39.27,Scania,2019-03-09
23531,Brasilia,77,157,39.86,Volvo,2019-03-09
23532,Brasilia,43,145,44.6,Volvo,2019-03-09
23533,Brasilia,40,136,37.45,Scania,2019-03-09
23534,Brasilia,43,144,36.79,Scania,2019-03-09
23535,Brasilia,43,148,35.25,Scania,2019-03-09
23536,Brasilia,46,162,31.69,Scania,2019-03-09
23537,Brasilia,71,126,33.02,Scania,2019-03-09
23538,Brasilia,77,160,33.12,Scania,2019-03-09
23539,Brasilia,46,168,32.94,Scania,2019-03-09
23540,Brasilia,71,130,38.3,Scania,2019-03-09
23541,Brasilia,46,169,30.94,Volvo,2019-03-09
23542,Brasilia,46,161,44.83,Volvo,2019-03-09
23543,Brasilia,97,120,35.1,Scania,2019-03-09
23544,Brasilia,46,161,32,Volvo,2019-03-09
23545,Brasilia,97,121,40.59,Volvo,2019-03-09
23546,Brasilia,40,135,40.06,Volvo,2019-03-09
23547,Brasilia,71,130,34.28,Scania,2019-03-09
23548,Brasilia,43,145,30.62,Volvo,2019-03-09
23549,Brasilia,46,168,35.51,Scania,2019-03-09
23550,Brasilia,71,133,34.34,Volvo,2019-03-09
23551,Salvador,47,170,44.11,Scania,2019-03-09
23552,Salvador,82,213,41.06,Volvo,2019-03-09
23553,Salvador,48,189,33.76,Volvo,2019-03-09
23554,Salvador,81,192,34.7,Scania,2019-03-09
23555,Salvador,48,188,33.53,Scania,2019-03-09
23556,Salvador,48,188,38.86,Scania,2019-03-09
23557,Salvador,82,213,42.04,Volvo,2019-03-09
23558,Salvador,48,188,37.74,Scania,2019-03-09
23559,Salvador,48,184,37.6,Scania,2019-03-09
23560,Salvador,81,192,34.84,Scania,2019-03-09
23561,Salvador,48,184,30.27,Scania,2019-03-09
23562,Salvador,47,170,30.77,Scania,2019-03-09
23563,Salvador,82,211,43.04,Volvo,2019-03-09
23564,Salvador,48,189,31.4,Volvo,2019-03-09
23565,Salvador,82,211,40.71,Volvo,2019-03-09
23566,Salvador,48,189,32.93,Volvo,2019-03-09
23567,Salvador,81,191,33.05,Volvo,2019-03-09
23568,Salvador,82,211,36.39,Volvo,2019-03-09
23569,Salvador,48,188,37.18,Scania,2019-03-09
23570,Salvador,82,211,30.02,Volvo,2019-03-09
23571,Salvador,81,198,31.24,Scania,2019-03-09
23572,Salvador,47,179,34.29,Volvo,2019-03-09
23573,Salvador,48,184,40.16,Scania,2019-03-09
23574,Salvador,81,194,42.58,Scania,2019-03-09
23575,Salvador,82,211,39.86,Volvo,2019-03-09
23576,Salvador,47,178,40.28,Scania,2019-03-09
23577,Salvador,47,178,41.2,Scania,2019-03-09
23578,Salvador,48,188,41.92,Scania,2019-03-09
23579,Salvador,48,189,30.36,Volvo,2019-03-09
23580,Salvador,48,188,43.57,Scania,2019-03-09
23581,Salvador,47,179,36.09,Volvo,2019-03-09
23582,Salvador,47,170,39.75,Scania,2019-03-09
23583,Salvador,82,213,36.72,Volvo,2019-03-09
23584,Salvador,81,191,31.85,Volvo,2019-03-09
23585,Salvador,81,198,36.53,Scania,2019-03-09
23586,Salvador,81,194,32.78,Scania,2019-03-09
23587,Salvador,81,198,41.44,Scania,2019-03-09
23588,Salvador,47,170,31,Scania,2019-03-09
23589,Salvador,82,213,40.62,Volvo,2019-03-09
23590,Salvador,48,184,30.72,Scania,2019-03-09
23591,Salvador,82,211,44.65,Volvo,2019-03-09
23592,Salvador,81,194,37.87,Scania,2019-03-09
23593,Salvador,82,211,44.54,Volvo,2019-03-09
23594,Salvador,48,184,32.19,Scania,2019-03-09
23595,Salvador,47,179,37.3,Volvo,2019-03-09
23596,Salvador,47,178,42.5,Scania,2019-03-09
23597,Salvador,48,184,39.97,Scania,2019-03-09
23598,Salvador,47,170,40.93,Scania,2019-03-09
23599,Salvador,47,170,44.34,Scania,2019-03-09
23600,Salvador,82,213,44.25,Volvo,2019-03-09
23601,Salvador,82,211,33.79,Volvo,2019-03-09
23602,Salvador,48,182,37.61,Scania,2019-03-09
23603,Salvador,48,188,39.95,Scania,2019-03-09
23604,Salvador,81,198,42.79,Scania,2019-03-09
23605,Salvador,48,188,35.32,Scania,2019-03-09
23606,Salvador,81,198,36.67,Scania,2019-03-09
23607,Salvador,81,198,31.53,Scania,2019-03-09
23608,Salvador,81,192,42.08,Scania,2019-03-09
23609,Salvador,47,179,34.85,Volvo,2019-03-09
23610,Salvador,82,211,34.46,Volvo,2019-03-09
23611,Salvador,82,211,43.73,Volvo,2019-03-09
23612,Salvador,81,191,40.45,Volvo,2019-03-09
23613,Salvador,47,170,42.16,Scania,2019-03-09
23614,Salvador,82,211,33.16,Volvo,2019-03-09
23615,Salvador,48,182,44.36,Scania,2019-03-09
23616,Salvador,82,211,35.71,Volvo,2019-03-09
23617,Salvador,48,184,40.71,Scania,2019-03-09
23618,Salvador,81,191,35.82,Volvo,2019-03-09
23619,Salvador,82,211,40.26,Volvo,2019-03-09
23620,Salvador,48,184,44.39,Scania,2019-03-09
23621,Salvador,47,178,38.9,Scania,2019-03-09
23622,Salvador,48,182,41.93,Scania,2019-03-09
23623,Salvador,48,188,31.75,Scania,2019-03-09
23624,Salvador,82,211,31.95,Volvo,2019-03-09
23625,Salvador,47,179,44.79,Volvo,2019-03-09
23626,Salvador,82,213,35.55,Volvo,2019-03-09
23627,Sao Paulo,83,229,44,Volvo,2019-03-09
23628,Sao Paulo,19,238,37.73,Scania,2019-03-09
23629,Sao Paulo,21,240,34.46,Scania,2019-03-09
23630,Sao Paulo,21,245,30.02,Volvo,2019-03-09
23631,Sao Paulo,19,230,30.14,Scania,2019-03-09
23632,Sao Paulo,83,229,35.37,Volvo,2019-03-09
23633,Sao Paulo,83,229,43.76,Volvo,2019-03-09
23634,Sao Paulo,83,217,42.85,Volvo,2019-03-09
23635,Sao Paulo,19,233,43.93,Volvo,2019-03-09
23636,Sao Paulo,21,244,43.01,Scania,2019-03-09
23637,Sao Paulo,21,246,31.7,Scania,2019-03-09
23638,Sao Paulo,19,233,40.67,Volvo,2019-03-09
23639,Sao Paulo,83,229,42.9,Volvo,2019-03-09
23640,Sao Paulo,19,238,38.69,Scania,2019-03-09
23641,Sao Paulo,19,233,38.72,Volvo,2019-03-09
23642,Sao Paulo,21,244,39.65,Scania,2019-03-09
23643,Sao Paulo,19,238,42.59,Scania,2019-03-09
23644,Sao Paulo,83,229,34.64,Volvo,2019-03-09
23645,Sao Paulo,19,238,40.38,Scania,2019-03-09
23646,Sao Paulo,21,240,35,Scania,2019-03-09
23647,Sao Paulo,19,230,44.44,Scania,2019-03-09
23648,Sao Paulo,21,245,34.39,Volvo,2019-03-09
23649,Sao Paulo,21,245,30.75,Volvo,2019-03-09
23650,Sao Paulo,21,244,35.87,Scania,2019-03-09
23651,Sao Paulo,21,246,35.76,Scania,2019-03-09
23652,Sao Paulo,83,229,42.37,Volvo,2019-03-09
23653,Sao Paulo,83,229,33.62,Volvo,2019-03-09
23654,Sao Paulo,83,217,37.35,Volvo,2019-03-09
23655,Sao Paulo,21,245,31.73,Volvo,2019-03-09
23656,Sao Paulo,21,240,44.1,Scania,2019-03-09
23657,Sao Paulo,19,232,44.57,Scania,2019-03-09
23658,Sao Paulo,21,244,35.51,Scania,2019-03-09
23659,Sao Paulo,19,233,35.89,Volvo,2019-03-09
23660,Sao Paulo,19,232,33.51,Scania,2019-03-09
23661,Sao Paulo,19,233,37.43,Volvo,2019-03-09
23662,Sao Paulo,19,230,42.31,Scania,2019-03-09
23663,Sao Paulo,83,217,36.97,Volvo,2019-03-09
23664,Sao Paulo,21,244,32.35,Scania,2019-03-09
23665,Sao Paulo,83,217,38.07,Volvo,2019-03-09
23666,Sao Paulo,19,238,39.91,Scania,2019-03-09
23667,Sao Paulo,19,238,38.73,Scania,2019-03-09
23668,Sao Paulo,19,238,32.33,Scania,2019-03-09
23669,Sao Paulo,83,217,30.63,Volvo,2019-03-09
23670,Sao Paulo,19,233,39.59,Volvo,2019-03-09
23671,Sao Paulo,21,246,34.92,Scania,2019-03-09
23672,Sao Paulo,21,240,42.53,Scania,2019-03-09
23673,Sao Paulo,19,238,30.96,Scania,2019-03-09
23674,Sao Paulo,19,232,30.13,Scania,2019-03-09
23675,Sao Paulo,83,229,30.79,Volvo,2019-03-09
23676,Sao Paulo,19,232,44.49,Scania,2019-03-09
23677,Sao Paulo,19,232,44.1,Scania,2019-03-09
23678,Sao Paulo,19,230,42.43,Scania,2019-03-09
23679,Sao Paulo,83,229,35.78,Volvo,2019-03-09
23680,Sao Paulo,21,245,39.5,Volvo,2019-03-09
23681,Sao Paulo,83,229,35.88,Volvo,2019-03-09
23682,Sao Paulo,21,244,36.82,Scania,2019-03-09
23683,Sao Paulo,21,245,38.74,Volvo,2019-03-09
23684,Sao Paulo,83,217,32.8,Volvo,2019-03-09
23685,Sao Paulo,19,230,42.29,Scania,2019-03-09
23686,Sao Paulo,21,246,32.08,Scania,2019-03-09
23687,Sao Paulo,83,217,31.5,Volvo,2019-03-09
23688,Sao Paulo,19,233,41.76,Volvo,2019-03-09
23689,Sao Paulo,19,232,42.55,Scania,2019-03-09
23690,Sao Paulo,83,217,39.23,Volvo,2019-03-09
23691,Sao Paulo,19,230,43.57,Scania,2019-03-09
23692,Sao Paulo,21,244,42.6,Scania,2019-03-09
23693,Sao Paulo,83,217,30.15,Volvo,2019-03-09
23694,Sao Paulo,21,245,30.59,Volvo,2019-03-09
23695,Sao Paulo,19,233,43.32,Volvo,2019-03-09
23696,Sao Paulo,83,217,32.05,Volvo,2019-03-09
23697,Sao Paulo,21,240,39.11,Scania,2019-03-09
23698,Sao Paulo,19,232,40.62,Scania,2019-03-09
23699,Sao Paulo,19,233,40.52,Volvo,2019-03-09
23700,Sao Paulo,83,229,35.95,Volvo,2019-03-09
23701,Sao Paulo,83,217,40.68,Volvo,2019-03-09
23702,Sao Paulo,19,238,33.7,Scania,2019-03-09
23703,Rio de Janeiro,57,274,39.83,Scania,2019-03-09
23704,Rio de Janeiro,44,301,40.98,Volvo,2019-03-09
23705,Rio de Janeiro,57,275,33.81,Volvo,2019-03-09
23706,Rio de Janeiro,32,291,35.26,Volvo,2019-03-09
23707,Rio de Janeiro,31,277,40.07,Volvo,2019-03-09
23708,Rio de Janeiro,84,265,36.62,Volvo,2019-03-09
23709,Rio de Janeiro,84,262,38.67,Scania,2019-03-09
23710,Rio de Janeiro,57,275,30.51,Volvo,2019-03-09
23711,Rio de Janeiro,32,290,41.75,Scania,2019-03-09
23712,Rio de Janeiro,44,299,33.03,Volvo,2019-03-09
23713,Rio de Janeiro,84,266,34.12,Scania,2019-03-09
23714,Rio de Janeiro,31,277,31.59,Volvo,2019-03-09
23715,Rio de Janeiro,57,275,35.74,Volvo,2019-03-09
23716,Rio de Janeiro,31,283,40.02,Volvo,2019-03-09
23717,Rio de Janeiro,84,266,39.6,Scania,2019-03-09
23718,Rio de Janeiro,32,286,41.79,Scania,2019-03-09
23719,Rio de Janeiro,44,299,39.18,Volvo,2019-03-09
23720,Rio de Janeiro,84,266,30.34,Scania,2019-03-09
23721,Rio de Janeiro,31,276,44.85,Scania,2019-03-09
23722,Rio de Janeiro,57,270,30.31,Scania,2019-03-09
23723,Rio de Janeiro,86,255,44.36,Volvo,2019-03-09
23724,Rio de Janeiro,57,270,41.91,Scania,2019-03-09
23725,Rio de Janeiro,32,286,31.43,Scania,2019-03-09
23726,Rio de Janeiro,44,297,37.35,Volvo,2019-03-09
23727,Rio de Janeiro,84,265,37.1,Volvo,2019-03-09
23728,Rio de Janeiro,31,277,35.79,Volvo,2019-03-09
23729,Rio de Janeiro,44,301,35.02,Volvo,2019-03-09
23730,Rio de Janeiro,32,286,42.87,Scania,2019-03-09
23731,Rio de Janeiro,44,298,30.72,Scania,2019-03-09
23732,Rio de Janeiro,32,288,30.78,Scania,2019-03-09
23733,Rio de Janeiro,84,266,37.13,Scania,2019-03-09
23734,Rio de Janeiro,84,266,30.49,Scania,2019-03-09
23735,Rio de Janeiro,57,274,42.73,Scania,2019-03-09
23736,Rio de Janeiro,31,276,35.16,Scania,2019-03-09
23737,Rio de Janeiro,32,291,37.37,Volvo,2019-03-09
23738,Rio de Janeiro,32,288,32.26,Scania,2019-03-09
23739,Rio de Janeiro,44,298,31.99,Scania,2019-03-09
23740,Rio de Janeiro,86,251,43.5,Volvo,2019-03-09
23741,Rio de Janeiro,32,288,44.43,Scania,2019-03-09
23742,Rio de Janeiro,86,251,44.02,Volvo,2019-03-09
23743,Rio de Janeiro,31,277,33.34,Volvo,2019-03-09
23744,Rio de Janeiro,84,265,39.91,Volvo,2019-03-09
23745,Rio de Janeiro,32,288,35.54,Scania,2019-03-09
23746,Rio de Janeiro,31,276,37.26,Scania,2019-03-09
23747,Rio de Janeiro,84,265,41.39,Volvo,2019-03-09
23748,Rio de Janeiro,32,291,42.29,Volvo,2019-03-09
23749,Rio de Janeiro,44,297,32.99,Volvo,2019-03-09
23750,Rio de Janeiro,57,274,34.58,Scania,2019-03-09
23751,Rio de Janeiro,31,277,30.89,Volvo,2019-03-09
23752,Rio de Janeiro,31,277,34.09,Volvo,2019-03-09
23753,Rio de Janeiro,57,274,42.28,Scania,2019-03-09
23754,Rio de Janeiro,57,270,32.44,Scania,2019-03-09
23755,Rio de Janeiro,57,275,41.57,Volvo,2019-03-09
23756,Rio de Janeiro,31,277,43.68,Volvo,2019-03-09
23757,Rio de Janeiro,32,291,41.53,Volvo,2019-03-09
23758,Rio de Janeiro,44,299,38.65,Volvo,2019-03-09
23759,Rio de Janeiro,86,255,38.09,Volvo,2019-03-09
23760,Rio de Janeiro,84,261,40.22,Volvo,2019-03-09
23761,Rio de Janeiro,86,257,40.23,Volvo,2019-03-09
23762,Rio de Janeiro,84,265,31.83,Volvo,2019-03-09
23763,Rio de Janeiro,86,251,38.02,Volvo,2019-03-09
23764,Rio de Janeiro,31,283,36.02,Volvo,2019-03-09
23765,Rio de Janeiro,44,301,33.82,Volvo,2019-03-09
23766,Rio de Janeiro,86,252,30.89,Scania,2019-03-09
23767,Rio de Janeiro,84,266,44.29,Scania,2019-03-09
23768,Rio de Janeiro,57,275,40.59,Volvo,2019-03-09
23769,Rio de Janeiro,32,286,41.8,Scania,2019-03-09
23770,Rio de Janeiro,31,276,33.63,Scania,2019-03-09
23771,Rio de Janeiro,84,261,44.27,Volvo,2019-03-09
23772,Rio de Janeiro,32,291,42.51,Volvo,2019-03-09
23773,Rio de Janeiro,31,280,34.35,Scania,2019-03-09
23774,Rio de Janeiro,57,270,34.2,Scania,2019-03-09
23775,Rio de Janeiro,44,297,42.97,Volvo,2019-03-09
23776,Rio de Janeiro,57,272,43.27,Scania,2019-03-09
23777,Rio de Janeiro,57,275,36.09,Volvo,2019-03-09
23778,Rio de Janeiro,84,261,34.21,Volvo,2019-03-09
23779,Brasilia,43,148,35.06,Scania,2019-03-10
23780,Brasilia,71,133,40.62,Volvo,2019-03-10
23781,Brasilia,46,169,37.82,Volvo,2019-03-10
23782,Brasilia,46,169,37.82,Volvo,2019-03-10
23783,Brasilia,71,133,43.28,Volvo,2019-03-10
23784,Brasilia,97,122,37.07,Scania,2019-03-10
23785,Brasilia,40,134,44.67,Scania,2019-03-10
23786,Brasilia,97,121,35.28,Volvo,2019-03-10
23787,Brasilia,71,125,37.39,Volvo,2019-03-10
23788,Brasilia,40,135,36.12,Volvo,2019-03-10
23789,Brasilia,40,134,40.02,Scania,2019-03-10
23790,Brasilia,40,134,44.56,Scania,2019-03-10
23791,Brasilia,46,162,36.83,Scania,2019-03-10
23792,Brasilia,46,162,31.16,Scania,2019-03-10
23793,Brasilia,40,136,36.19,Scania,2019-03-10
23794,Brasilia,40,136,41.18,Scania,2019-03-10
23795,Brasilia,71,126,44.38,Scania,2019-03-10
23796,Brasilia,71,130,41.81,Scania,2019-03-10
23797,Brasilia,71,126,35.66,Scania,2019-03-10
23798,Brasilia,97,120,41.57,Scania,2019-03-10
23799,Brasilia,71,133,35.1,Volvo,2019-03-10
23800,Brasilia,46,161,39.43,Volvo,2019-03-10
23801,Brasilia,40,134,44.18,Scania,2019-03-10
23802,Brasilia,97,120,40.13,Scania,2019-03-10
23803,Brasilia,97,121,34.78,Volvo,2019-03-10
23804,Brasilia,46,168,36.15,Scania,2019-03-10
23805,Brasilia,71,126,41.85,Scania,2019-03-10
23806,Brasilia,43,143,43.96,Volvo,2019-03-10
23807,Brasilia,43,144,30.56,Scania,2019-03-10
23808,Brasilia,71,130,30.06,Scania,2019-03-10
23809,Brasilia,71,125,30.63,Volvo,2019-03-10
23810,Brasilia,71,126,36.17,Scania,2019-03-10
23811,Brasilia,43,144,38.51,Scania,2019-03-10
23812,Brasilia,43,143,41.06,Volvo,2019-03-10
23813,Brasilia,97,115,37.15,Volvo,2019-03-10
23814,Brasilia,46,169,40.1,Volvo,2019-03-10
23815,Brasilia,71,126,36.35,Scania,2019-03-10
23816,Brasilia,71,133,31.85,Volvo,2019-03-10
23817,Brasilia,71,133,39.32,Volvo,2019-03-10
23818,Brasilia,77,150,37.23,Scania,2019-03-10
23819,Brasilia,43,144,35.46,Scania,2019-03-10
23820,Brasilia,71,133,35.69,Volvo,2019-03-10
23821,Brasilia,40,136,39.97,Scania,2019-03-10
23822,Brasilia,71,130,31.1,Scania,2019-03-10
23823,Brasilia,40,136,38.13,Scania,2019-03-10
23824,Brasilia,97,121,32.19,Volvo,2019-03-10
23825,Brasilia,97,115,39.82,Volvo,2019-03-10
23826,Brasilia,97,121,38.86,Volvo,2019-03-10
23827,Brasilia,46,161,31.1,Volvo,2019-03-10
23828,Brasilia,71,133,30.55,Volvo,2019-03-10
23829,Brasilia,71,126,34.86,Scania,2019-03-10
23830,Brasilia,97,120,30.17,Scania,2019-03-10
23831,Brasilia,77,152,43.68,Scania,2019-03-10
23832,Brasilia,40,136,37.45,Scania,2019-03-10
23833,Brasilia,71,130,44.18,Scania,2019-03-10
23834,Brasilia,77,150,35.8,Scania,2019-03-10
23835,Brasilia,46,162,41.78,Scania,2019-03-10
23836,Brasilia,43,144,30.55,Scania,2019-03-10
23837,Brasilia,46,168,44.22,Scania,2019-03-10
23838,Brasilia,77,160,35.56,Scania,2019-03-10
23839,Brasilia,77,157,36.8,Volvo,2019-03-10
23840,Brasilia,97,115,31.69,Volvo,2019-03-10
23841,Brasilia,46,169,37.12,Volvo,2019-03-10
23842,Brasilia,71,133,37.68,Volvo,2019-03-10
23843,Brasilia,71,133,44.53,Volvo,2019-03-10
23844,Brasilia,40,136,38.7,Scania,2019-03-10
23845,Brasilia,40,134,35.65,Scania,2019-03-10
23846,Brasilia,46,162,37.31,Scania,2019-03-10
23847,Brasilia,43,144,30.53,Scania,2019-03-10
23848,Brasilia,43,144,38.53,Scania,2019-03-10
23849,Brasilia,97,121,32.92,Volvo,2019-03-10
23850,Brasilia,43,143,40.77,Volvo,2019-03-10
23851,Brasilia,43,143,34.07,Volvo,2019-03-10
23852,Brasilia,77,157,36.39,Volvo,2019-03-10
23853,Brasilia,97,115,33.81,Volvo,2019-03-10
23854,Brasilia,43,144,36.16,Scania,2019-03-10
23855,Salvador,81,194,33.63,Scania,2019-03-10
23856,Salvador,47,170,34.92,Scania,2019-03-10
23857,Salvador,47,179,31.35,Volvo,2019-03-10
23858,Salvador,81,192,31.09,Scania,2019-03-10
23859,Salvador,47,178,40.21,Scania,2019-03-10
23860,Salvador,48,188,38.1,Scania,2019-03-10
23861,Salvador,82,213,32.38,Volvo,2019-03-10
23862,Salvador,47,178,37.63,Scania,2019-03-10
23863,Salvador,48,189,36.99,Volvo,2019-03-10
23864,Salvador,48,182,38.38,Scania,2019-03-10
23865,Salvador,47,179,35.78,Volvo,2019-03-10
23866,Salvador,47,170,36.81,Scania,2019-03-10
23867,Salvador,47,179,37.55,Volvo,2019-03-10
23868,Salvador,48,182,33.1,Scania,2019-03-10
23869,Salvador,48,189,36.63,Volvo,2019-03-10
23870,Salvador,82,213,44.87,Volvo,2019-03-10
23871,Salvador,48,188,32.31,Scania,2019-03-10
23872,Salvador,81,198,33.37,Scania,2019-03-10
23873,Salvador,48,184,33.64,Scania,2019-03-10
23874,Salvador,47,179,40.98,Volvo,2019-03-10
23875,Salvador,47,179,34.05,Volvo,2019-03-10
23876,Salvador,47,179,30.76,Volvo,2019-03-10
23877,Salvador,82,211,34.53,Volvo,2019-03-10
23878,Salvador,48,188,33.91,Scania,2019-03-10
23879,Salvador,47,178,40.94,Scania,2019-03-10
23880,Salvador,47,179,31.75,Volvo,2019-03-10
23881,Salvador,81,194,37.59,Scania,2019-03-10
23882,Salvador,81,198,39.05,Scania,2019-03-10
23883,Salvador,81,194,44.41,Scania,2019-03-10
23884,Salvador,48,182,39.01,Scania,2019-03-10
23885,Salvador,48,189,36.94,Volvo,2019-03-10
23886,Salvador,48,182,38.86,Scania,2019-03-10
23887,Salvador,81,194,33.33,Scania,2019-03-10
23888,Salvador,47,170,39.73,Scania,2019-03-10
23889,Salvador,47,178,32.19,Scania,2019-03-10
23890,Salvador,82,211,44.23,Volvo,2019-03-10
23891,Salvador,48,182,31.61,Scania,2019-03-10
23892,Salvador,47,179,35.26,Volvo,2019-03-10
23893,Salvador,82,213,36.58,Volvo,2019-03-10
23894,Salvador,47,178,35.1,Scania,2019-03-10
23895,Salvador,82,213,30.5,Volvo,2019-03-10
23896,Salvador,81,192,42.16,Scania,2019-03-10
23897,Salvador,82,213,34.96,Volvo,2019-03-10
23898,Salvador,47,179,32.47,Volvo,2019-03-10
23899,Salvador,81,191,36.29,Volvo,2019-03-10
23900,Salvador,82,211,37.03,Volvo,2019-03-10
23901,Salvador,82,213,33.78,Volvo,2019-03-10
23902,Salvador,48,182,37.95,Scania,2019-03-10
23903,Salvador,47,179,33.67,Volvo,2019-03-10
23904,Salvador,82,213,38.02,Volvo,2019-03-10
23905,Salvador,81,191,32.76,Volvo,2019-03-10
23906,Salvador,47,178,43.45,Scania,2019-03-10
23907,Salvador,81,192,37.84,Scania,2019-03-10
23908,Salvador,81,194,33.78,Scania,2019-03-10
23909,Salvador,48,182,38.11,Scania,2019-03-10
23910,Salvador,81,194,34.04,Scania,2019-03-10
23911,Salvador,82,211,44.2,Volvo,2019-03-10
23912,Salvador,47,170,41.33,Scania,2019-03-10
23913,Salvador,47,170,36.65,Scania,2019-03-10
23914,Salvador,47,179,33.69,Volvo,2019-03-10
23915,Salvador,81,191,40.13,Volvo,2019-03-10
23916,Salvador,47,178,31.86,Scania,2019-03-10
23917,Salvador,48,182,31.83,Scania,2019-03-10
23918,Salvador,48,189,42.61,Volvo,2019-03-10
23919,Salvador,81,192,32.28,Scania,2019-03-10
23920,Salvador,48,188,42.06,Scania,2019-03-10
23921,Salvador,48,184,33.85,Scania,2019-03-10
23922,Salvador,48,182,39.82,Scania,2019-03-10
23923,Salvador,82,213,41.33,Volvo,2019-03-10
23924,Salvador,47,178,39.96,Scania,2019-03-10
23925,Salvador,48,182,41.88,Scania,2019-03-10
23926,Salvador,81,198,34.51,Scania,2019-03-10
23927,Salvador,81,194,39.97,Scania,2019-03-10
23928,Salvador,48,182,30.92,Scania,2019-03-10
23929,Salvador,47,170,34.71,Scania,2019-03-10
23930,Salvador,82,213,37.47,Volvo,2019-03-10
23931,Sao Paulo,21,246,33.39,Scania,2019-03-10
23932,Sao Paulo,83,229,43.49,Volvo,2019-03-10
23933,Sao Paulo,19,238,30.42,Scania,2019-03-10
23934,Sao Paulo,83,229,40.35,Volvo,2019-03-10
23935,Sao Paulo,21,240,37.89,Scania,2019-03-10
23936,Sao Paulo,83,217,44.66,Volvo,2019-03-10
23937,Sao Paulo,21,246,41.22,Scania,2019-03-10
23938,Sao Paulo,21,246,41.8,Scania,2019-03-10
23939,Sao Paulo,19,232,32.94,Scania,2019-03-10
23940,Sao Paulo,19,232,38.55,Scania,2019-03-10
23941,Sao Paulo,83,217,31.34,Volvo,2019-03-10
23942,Sao Paulo,21,245,38.01,Volvo,2019-03-10
23943,Sao Paulo,21,245,42.91,Volvo,2019-03-10
23944,Sao Paulo,83,217,30.15,Volvo,2019-03-10
23945,Sao Paulo,19,230,30.92,Scania,2019-03-10
23946,Sao Paulo,21,240,44.76,Scania,2019-03-10
23947,Sao Paulo,83,229,32.98,Volvo,2019-03-10
23948,Sao Paulo,19,233,32.79,Volvo,2019-03-10
23949,Sao Paulo,21,245,30.11,Volvo,2019-03-10
23950,Sao Paulo,19,233,41.86,Volvo,2019-03-10
23951,Sao Paulo,83,229,39.84,Volvo,2019-03-10
